parent_file_id,split
2208944313242,train
2208939496070,test
2211690656606,train
2211696949388,train
2211691799758,train
2211695010970,test
2211692276907,train
2211692195490,train
2211692702155,test
2211688900395,train
2211690476835,test
2211698663945,train
2211698756466,train
2215961147069,test
2215959743509,train
2215966523424,train
2215969991333,train
2215969535070,train
2215966043461,train
2217108652330,test
2217102215992,train
2226221219064,train
2226217211191,train
2226220163816,train
2226211984247,train
2226220840084,test
2226215022126,train
2226219406812,train
2226212305359,train
2226212795846,train
2226215351904,test
2228766327689,train
2229954559174,train
2229955028955,train
2235765455421,test
2235776966018,test
2235771529284,test
2235773181357,train
2235773944653,train
2235773101399,train
2235778982032,train
2235776841484,train
2235780092489,train
2235776053900,train
2235773685044,train
2242103839117,train
2242124102069,train
2242121805148,train
2242147413461,train
2253572149264,train
2253527763962,train
2253520497079,test
2253577718222,train
2253527792934,train
2253509474297,test
2253540050305,train
2253523218184,test
2253577855114,test
2253572462037,test
2253519623365,train
2253576899032,train
2270549744890,train
2270555454203,test
2270564862326,train
2270565328702,train
2308682762116,train
2308682385124,test
2308682529509,train
2308684053449,train
2308682143062,train
2308686308897,train
2308686709803,train
2215965971579,train
2215957399054,train
2215960887748,train
2215964126212,train
2226222851056,train
2264419378865,train
2264419883507,train
2264401669220,train
2264413389193,train
2269318132336,train
2269324059906,test
2269314572595,train
2269317771807,train
2269312830579,train
2269322795290,train
2269324779819,test
2269318686869,train
2279175392667,train
2279173158660,train
2279185048008,train
2279181974248,train
2279191576525,train
2279174875136,train
2279178719783,train
2279181849338,train
2281841318261,test
2281835545280,train
2281848531918,train
2211689553042,train
2211691497533,train
2229952043852,train
2229950161503,test
2235773322554,train
2235765734371,test
2235768842189,train
2269319420536,train
2269316821372,train
2269319655862,train
2269318705407,train
2279173556721,train
2308680323704,train
2308685807247,train
2308681520996,test
2308685133399,train
2308688179063,train
2308684007062,train
2308686297296,train
2226215640000,train
